@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric

@data

merged_dataset_part1,1,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17854,0,0,100,0,0,1,0.000002,0.000051,0.01611,0.067982,3150.461587,0.161334,3150.300253,0.176457,0.000009,0.176448,3150.300253,0.176448,99.994879,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.382,0.009,0.359375,0,359.375,0,1040843,12549995,1551700,100,14.285714,?,4755
merged_dataset_part2,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17853,2,0,99.988799,0.011201,0,0.997166,0.000042,0.004411,0.371866,5.862119,3122.113372,7.228301,3114.88507,0.174859,0.000405,0.174454,3114.88507,0.174454,99.76848,1,213,0,0,1,17642,0,0,1,1,1,1,1,1,0.999888,0.005459,0.994541,0.000112,0.999888,0.999888,0.999877,0.997149,1,1,0.97142,0.999888,0.583,0.007,0.484375,0.015625,484.375,15.625,1069819,12548882,1550741,100,14.288915,?,4725
merged_dataset_part2,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17855,0,0,100,0,0,1,0,0,0,0,3122.113372,0,3122.113372,0.174859,0,0.174859,3122.113372,0.174859,100,1,213,0,0,1,17642,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.318,0.008,0.3125,0.015625,312.5,15.625,1032845,12548882,1550741,100,14.285714,?,4727
merged_dataset_part2,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17855,0,0,100,0,0,1,0.000002,0.000015,0.014987,0.020037,3122.113372,0.153143,3121.960228,0.174859,0.000009,0.174851,3121.960228,0.174851,99.995095,1,213,0,0,1,17642,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.348,0.009,0.328125,0.015625,328.125,15.625,1032845,12548882,1550741,100,14.285714,?,4727
merged_dataset_part2,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17853,1,0,99.994399,0.005601,0,0.998581,0.000033,0.004001,0.295097,5.324617,3108.793477,14.119059,3094.674418,0.174123,0.000791,0.173332,3100.819035,0.173676,99.743488,0.995305,212,0,0,1,17641,0.004695,1,1,0.995305,0.997647,0.997622,0.99982,0.995944,0.999944,0.002737,0.997263,0.000056,0.999944,0.999944,0.999944,0.998574,0.999757,0.999944,0.99966,0.999944,0.322,0.008,0.3125,0.015625,312.5,15.625,1031858,12548959,1550664,99.994399,14.285714,?,4723
merged_dataset_part2,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17854,0,0,100,0,0,1,0.000005,0.000036,0.046484,0.048209,3104.612086,0.474399,3104.137686,0.173889,0.000027,0.173862,3104.137686,0.173862,99.98472,1,214,0,0,1,17640,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.362,0.009,0.328125,0.015625,328.125,15.625,1032339,12548959,1550664,100,14.285714,?,4725
merged_dataset_part2,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17852,2,0,99.988798,0.011202,0,0.997166,0.000031,0.004402,0.276294,5.849289,3114.473439,6.239168,3108.234271,0.174441,0.000349,0.174092,3108.234271,0.174092,99.799672,1,213,0,0,1,17641,0,0,1,1,1,1,1,1,0.999888,0.005459,0.994541,0.000112,0.999888,0.999888,0.999877,0.997149,1,1,0.97142,0.999888,0.347,0.009,0.359375,0,359.375,0,1032780,12548959,1550664,100,14.288915,?,4727
merged_dataset_part2,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17853,1,0,99.994399,0.005601,0,0.998585,0.00002,0.004,0.173234,5.315007,3114.473439,12.876204,3101.597236,0.174441,0.000721,0.17372,3107.74101,0.174064,99.783834,0.995305,212,0,0,1,17641,0.004695,1,1,0.995305,0.997647,0.997622,0.999819,0.995941,0.999944,0.00273,0.99727,0.000056,0.999944,0.999944,0.999944,0.998578,0.999892,0.999947,0.99966,0.999944,0.311,0.008,0.3125,0.015625,312.5,15.625,1032364,12548959,1550664,99.994399,14.285714,?,4725
merged_dataset_part2,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17852,2,0,99.988798,0.011202,0,0.997166,0.000028,0.004416,0.246778,5.868534,3119.652347,5.973159,3113.679188,0.174731,0.000335,0.174397,3113.679188,0.174397,99.808531,1,213,0,0,1,17641,0,0,1,1,1,1,1,1,0.999888,0.005459,0.994541,0.000112,0.999888,0.999888,0.999877,0.997149,1,1,0.97142,0.999888,0.346,0.009,0.34375,0.015625,343.75,15.625,1032780,12548959,1550664,100,14.288915,?,4727
merged_dataset_part2,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17852,2,0,99.988798,0.011202,0,0.997174,0.000038,0.005339,0.330955,7.094751,3122.084028,1077.688709,2044.395319,0.174867,0.060361,0.114506,3107.782437,0.174066,99.541922,1,213,0,0,1,17641,0,0,1,1,1,1,1,1,0.999888,0.00273,0.99727,0.000112,0.999907,0.999888,0.999893,0.997166,0.9985,0.999865,0.970278,0.999888,0.352,0.008,0.359375,0,359.375,0,1032339,12548959,1550664,99.994399,14.287315,?,4725
