Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,Algorithm
merged_dataset_part2,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17853,2,0,99.988799,0.011201,0,0.997166,0.000028,0.00441,0.246434,5.859979,3122.113372,5.946066,3116.167306,0.174859,0.000333,0.174526,3116.167306,0.174526,99.80955,1,213,0,0,1,17642,0,0,1,1,1,1,1,1,0.999888,0.005459,0.994541,0.000112,0.999888,0.999888,0.999877,0.997149,1,1,0.97142,0.999888,0.497,0.011,0.5,0.015625,500,15.625,1549764,12548882,1550741,100,14.288915,'Number of leaves: 4721\nSize of the tree: 4733\n',4733,4721,4721,tree_J48
merged_dataset_part2,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17855,0,0,100,0,0,1,0,0,0,0,3122.113372,0,3122.113372,0.174859,0,0.174859,3122.113372,0.174859,100,1,213,0,0,1,17642,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.414,0.014,0.40625,0.015625,406.25,15.625,1549764,12548882,1550741,100,14.285714,'Number of leaves: 4721\nSize of the tree: 4733\n',4733,4721,4721,tree_J48
merged_dataset_part2,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17855,0,0,100,0,0,1,0,0,0,0,3122.113372,0,3122.113372,0.174859,0,0.174859,3122.113372,0.174859,100,1,213,0,0,1,17642,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.414,0.013,0.390625,0.015625,390.625,15.625,1549764,12548882,1550741,100,14.285714,'Number of leaves: 4721\nSize of the tree: 4733\n',4733,4721,4721,tree_J48
merged_dataset_part2,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17853,1,0,99.994399,0.005601,0,0.998581,0.00002,0.004,0.173262,5.322332,3108.793477,12.87517,3095.918307,0.174123,0.000721,0.173402,3102.062924,0.173746,99.7835,0.995305,212,0,0,1,17641,0.004695,1,1,0.995305,0.997647,0.997622,0.99982,0.995944,0.999944,0.002737,0.997263,0.000056,0.999944,0.999944,0.999944,0.998574,0.999892,0.999947,0.99966,0.999944,0.412,0.03,0.40625,0.015625,406.25,15.625,1548636,12548959,1550664,99.994399,14.285714,'Number of leaves: 4719\nSize of the tree: 4729\n',4729,4719,4719,tree_J48
merged_dataset_part2,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17854,0,0,100,0,0,1,0,0,0,0,3104.612086,0,3104.612086,0.173889,0,0.173889,3104.612086,0.173889,100,1,214,0,0,1,17640,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.403,0.011,0.40625,0.015625,406.25,15.625,1549764,12548959,1550664,100,14.285714,'Number of leaves: 4721\nSize of the tree: 4733\n',4733,4721,4721,tree_J48
merged_dataset_part2,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17852,2,0,99.988798,0.011202,0,0.997166,0.000028,0.004402,0.246273,5.849222,3114.473439,5.932423,3108.541016,0.174441,0.000332,0.174109,3108.541016,0.174109,99.809521,1,213,0,0,1,17641,0,0,1,1,1,1,1,1,0.999888,0.005459,0.994541,0.000112,0.999888,0.999888,0.999877,0.997149,1,1,0.97142,0.999888,0.414,0.01,0.40625,0.015625,406.25,15.625,1549764,12548959,1550664,100,14.288915,'Number of leaves: 4721\nSize of the tree: 4733\n',4733,4721,4721,tree_J48
merged_dataset_part2,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17853,1,0,99.994399,0.005601,0,0.998585,0.00002,0.004,0.173234,5.315007,3114.473439,12.876204,3101.597236,0.174441,0.000721,0.17372,3107.74101,0.174064,99.783834,0.995305,212,0,0,1,17641,0.004695,1,1,0.995305,0.997647,0.997622,0.999819,0.995941,0.999944,0.00273,0.99727,0.000056,0.999944,0.999944,0.999944,0.998578,0.999892,0.999947,0.99966,0.999944,0.414,0.01,0.40625,0.015625,406.25,15.625,1548636,12548959,1550664,99.994399,14.285714,'Number of leaves: 4719\nSize of the tree: 4729\n',4729,4719,4719,tree_J48
merged_dataset_part2,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17851,3,0,99.983197,0.016803,0,0.995756,0.000044,0.005959,0.387983,7.918148,3119.652347,1079.973159,2039.679188,0.174731,0.060489,0.114242,3108.015424,0.17408,99.62698,1,213,0,0,1,17641,0,0,1,1,1,1,1,1,0.999832,0.005459,0.994541,0.000168,0.999851,0.999832,0.999826,0.995735,0.999972,0.999962,0.942845,0.999832,0.412,0.01,0.40625,0.015625,406.25,15.625,1549764,12548959,1550664,99.994399,14.288915,'Number of leaves: 4721\nSize of the tree: 4733\n',4733,4721,4721,tree_J48
merged_dataset_part2,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17852,2,0,99.988798,0.011202,0,0.997174,0.000032,0.005657,0.282409,7.5176,3122.084028,2148,974.084028,0.174867,0.120309,0.054558,3108.278501,0.174094,99.557811,1,213,0,0,1,17641,0,0,1,1,1,1,1,1,0.999888,0.00273,0.99727,0.000112,0.999907,0.999888,0.999893,0.997166,0.998579,0.99985,0.970278,0.999888,0.415,0.01,0.40625,0.015625,406.25,15.625,1549764,12548959,1550664,99.988798,14.285714,'Number of leaves: 4721\nSize of the tree: 4733\n',4733,4721,4721,tree_J48
merged_dataset_part2,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17852,2,0,99.988798,0.011202,0,0.997174,0.000036,0.005657,0.314489,7.517044,3122.084028,1086.876499,2035.207529,0.174867,0.060876,0.113992,3109.687299,0.174173,99.602934,0.995305,212,0,0,1,17641,0.004695,1,1,0.995305,0.997647,0.997622,0.999819,0.99594,0.999888,0.00273,0.99727,0.000112,0.999889,0.999888,0.999888,0.997158,0.999863,0.999891,0.998531,0.999888,0.491,0.015,0.40625,0.015625,406.25,15.625,1548636,12548959,1550664,99.988798,14.285714,'Number of leaves: 4719\nSize of the tree: 4729\n',4729,4719,4719,tree_J48
merged_dataset_part3,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17854,1,0,99.994399,0.005601,0,0.998525,0.00002,0.004,0.1814,5.427538,3052.118316,1074.335039,1977.783278,0.170939,0.06017,0.110769,3043.812203,0.170474,99.727857,1,181,0,0,1,17674,0,0,1,1,1,1,1,1,0.999944,0.002851,0.997149,0.000056,0.999944,0.999944,0.999944,0.998517,0.998434,0.999884,0.998997,0.999944,0.511,0.015,0.515625,0.015625,515.625,15.625,1561389,12550325,1552184,99.994399,14.285714,'Number of leaves: 4758\nSize of the tree: 4768\n',4768,4758,4758,tree_J48
merged_dataset_part3,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17855,0,0,100,0,0,1,0.000003,0.000024,0.031972,0.032617,3052.118316,0.313348,3051.804968,0.170939,0.000018,0.170922,3051.804968,0.170922,99.989733,1,181,0,0,1,17674,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.508,0.011,0.515625,0,515.625,0,1561389,12550325,1552184,100,14.285714,'Number of leaves: 4758\nSize of the tree: 4768\n',4768,4758,4758,tree_J48
merged_dataset_part3,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17853,2,0,99.988799,0.011201,0,0.997046,0.000031,0.004445,0.288516,6.031267,3052.125809,6.190429,3045.93538,0.17094,0.000347,0.170593,3045.93538,0.170593,99.797176,1,181,0,0,1,17674,0,0,1,1,1,1,1,1,0.999888,0.005702,0.994298,0.000112,0.999888,0.999888,0.999879,0.997028,1,1,0.976182,0.999888,0.405,0.011,0.40625,0,406.25,0,1561389,12550325,1552184,100,14.288915,'Number of leaves: 4758\nSize of the tree: 4768\n',4768,4758,4758,tree_J48
merged_dataset_part3,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17854,0,0,100,0,0,1,0.000004,0.000024,0.032749,0.033074,3041.657279,0.320545,3041.336733,0.170363,0.000018,0.170345,3041.336733,0.170345,99.989461,1,181,0,0,1,17673,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.405,0.011,0.40625,0,406.25,0,1561389,12550402,1552107,100,14.285714,'Number of leaves: 4758\nSize of the tree: 4768\n',4768,4758,4758,tree_J48
merged_dataset_part3,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17851,3,0,99.983197,0.016803,0,0.995549,0.000045,0.005968,0.418586,8.108263,3041.657279,19.527035,3022.130244,0.170363,0.001094,0.169269,3029.051192,0.169657,99.585552,0.994475,180,0,0,1,17673,0.005525,1,1,0.994475,0.99723,0.997206,0.9998,0.99516,0.999832,0.008578,0.991422,0.000168,0.999832,0.999832,0.999823,0.995529,0.999894,0.999947,0.975783,0.999832,0.404,0.01,0.40625,0.015625,406.25,15.625,1561389,12550402,1552107,99.994399,14.288915,'Number of leaves: 4758\nSize of the tree: 4768\n',4768,4758,4758,tree_J48
merged_dataset_part3,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17854,0,0,100,0,0,1,0.000004,0.000025,0.033515,0.033498,3044.154137,0.328044,3043.826093,0.170503,0.000018,0.170484,3043.826093,0.170484,99.989224,1,181,0,0,1,17673,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.416,0.011,0.421875,0.015625,421.875,15.625,1561389,12550402,1552107,100,14.285714,'Number of leaves: 4758\nSize of the tree: 4768\n',4768,4758,4758,tree_J48
merged_dataset_part3,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17854,0,0,100,0,0,1,0.000004,0.000024,0.032898,0.033132,3050.748228,0.322417,3050.425811,0.170872,0.000018,0.170854,3050.425811,0.170854,99.989432,1,182,0,0,1,17672,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.43,0.011,0.421875,0.015625,421.875,15.625,1561389,12550402,1552107,100,14.285714,'Number of leaves: 4758\nSize of the tree: 4768\n',4768,4758,4758,tree_J48
